question,choices,answer,why,difficulty,category,skin
"In supervised learning, the model learns from…","Labeled examples (input paired with correct output)|Unlabeled data only|Trial-and-error rewards","Labeled examples (input paired with correct output)","Supervision means every training example carries the right answer to imitate",easy,CIRC,both
"A 'feature' in machine learning is…","An input variable the model uses to predict|The model's output|A bug in the data","An input variable the model uses to predict","Features are the columns the model reads; the label is what it predicts",easy,CIRC,both
"A 'label' is…","The correct output the model should learn to predict|An input column|The model's name","The correct output the model should learn to predict","Labels are the ground truth that training pushes predictions toward",easy,CIRC,both
"Classification predicts…","A discrete category|A continuous number|The training speed","A discrete category","Spam or not, cat or dog: classification picks from a fixed set of classes",easy,CIRC,both
"Regression predicts…","A continuous number|A discrete category|A cluster id","A continuous number","House prices and temperatures are regression targets: any value on a scale",easy,CIRC,both
"Why split data into train and test sets?","To measure performance on data the model has never seen|To make training faster|To use less memory","To measure performance on data the model has never seen","Scoring on training data rewards memorization; the test set estimates real-world skill",easy,CIRC,both
"Overfitting means the model…","Memorized the training data and fails on new data|Is too simple to learn anything|Trains too slowly","Memorized the training data and fails on new data","It learned the noise, not the pattern, so it can't generalize",easy,CIRC,both
"Underfitting means the model…","Is too simple to capture the real pattern|Memorized the noise|Has too many parameters","Is too simple to capture the real pattern","It does badly on training AND test data because it can't represent the signal",easy,CIRC,both
"Unsupervised learning works with…","Unlabeled data, finding structure on its own|Labeled examples|Reward signals from an environment","Unlabeled data, finding structure on its own","No answers are given; the algorithm discovers groups or patterns itself",easy,CIRC,both
"Clustering is an example of…","Unsupervised learning|Supervised learning|Reinforcement learning","Unsupervised learning","Grouping similar points needs no labels, so it's unsupervised",easy,CIRC,both
"A loss function measures…","How wrong the model's predictions are|How fast the model runs|How large the dataset is","How wrong the model's predictions are","Training is just minimizing this number; lower loss means better fit",easy,CIRC,both
"Training a model means…","Adjusting its parameters to reduce the loss|Writing if-else rules by hand|Cleaning the data","Adjusting its parameters to reduce the loss","Learning is iterative parameter updates driven by the loss signal",easy,CIRC,both
"Reinforcement learning learns from…","Rewards and penalties for actions taken|Labeled input-output pairs|Nearest neighbors","Rewards and penalties for actions taken","An agent acts, the environment scores it, and behavior shifts toward reward",easy,CIRC,both
"A validation set is used to…","Tune choices like hyperparameters without touching the test set|Train the model's weights|Store backup data","Tune choices like hyperparameters without touching the test set","You pick settings on validation data so the test set stays an honest final exam",easy,CIRC,both
"Your model scores 99% on training data but 62% on test data. Most likely:","Overfitting|Underfitting|The metrics are broken","Overfitting","A big train-test gap is the classic signature of memorization",medium,CIRC,both
"Which model would most likely underfit a complex nonlinear pattern?","A straight-line (linear) model|A deep neural network|A random forest with deep trees","A straight-line (linear) model","A line can't bend to follow curves in the data",medium,CIRC,both
"Why is accuracy misleading on a 99-to-1 imbalanced dataset?","Predicting the majority class every time already scores 99%|Accuracy can't be computed on imbalanced data|Imbalance makes training crash","Predicting the majority class every time already scores 99%","A useless model looks great, so you need precision, recall, or F1 instead",medium,CIRC,both
"k-nearest-neighbors classifies a new point by…","The labels of the closest training examples|A learned weight matrix|Random sampling","The labels of the closest training examples","kNN stores the data and votes among the k nearest points at prediction time",medium,CIRC,both
"A decision tree makes predictions by…","Asking a series of feature-threshold questions that best separate the classes|Multiplying weight matrices|Averaging all the features","Asking a series of feature-threshold questions that best separate the classes","Each split narrows down the data until a leaf gives the answer",medium,CIRC,both
"One-hot encoding is used to…","Turn categories into numeric vectors a model can use|Compress images|Normalize continuous values","Turn categories into numeric vectors a model can use","Models need numbers, so 'red/green/blue' becomes [1,0,0] style vectors",medium,CIRC,both
"Feature scaling helps many models because…","Features on wildly different ranges can dominate distances and gradients|It removes outliers automatically|It creates new labels","Features on wildly different ranges can dominate distances and gradients","Putting features on comparable scales keeps one column from drowning out the rest",medium,CIRC,both
"The 'curse of dimensionality' refers to…","Data becoming sparse and distances less meaningful as features grow|Having too many rows|Running out of GPU cores","Data becoming sparse and distances less meaningful as features grow","In very high dimensions everything is far from everything, hurting similarity-based methods",medium,CIRC,both
"Data leakage means…","Information from the test set or the future sneaks into training, inflating scores|Losing rows during cleaning|The GPU memory overflows","Information from the test set or the future sneaks into training, inflating scores","Leakage makes offline scores lie: the model saw hints it won't have in production",hard,CIRC,both
"Why can a random train/test split be wrong for time-series data?","It lets the model train on the future and predict the past|Time-series can't be split at all|Random splits are too slow","It lets the model train on the future and predict the past","Real deployment predicts forward in time, so the split must respect time order",hard,CIRC,both
"Gradient descent updates parameters by…","Stepping opposite the gradient of the loss|Random guessing until loss drops|Sorting the weights","Stepping opposite the gradient of the loss","The gradient points uphill, so you walk downhill to reduce the loss",easy,COND,both
