question,choices,answer,why,difficulty,category,skin
"In AWG sizes, a larger gauge number means…","A smaller conductor|A bigger conductor|A longer wire","A smaller conductor","AWG runs backwards — 14 AWG is smaller than 12 AWG.",medium,COND,theory
"Voltage drop on a long run is reduced by…","A larger conductor or a shorter run|A bigger breaker|More connections","A larger conductor or a shorter run","Drop grows with length and shrinks with conductor size — keep runs short and sized right.",medium,COND,both
"Too much voltage drop makes equipment…","Run hot and underperform|Run faster|Use less energy","Run hot and underperform","Motors especially — low voltage means high current and heat.",medium,COND,theory
"Wire splices and junctions must be made…","Inside an approved box|Anywhere convenient|Only with tape","Inside an approved box","Boxes contain heat and faults and keep connections accessible.",medium,COND,theory
"An extension cord for a high-amp tool must be…","Rated for at least the tool's current|Any household cord|As long as possible","Rated for at least the tool's current","An undersized cord overheats and starves the tool with voltage drop.",medium,COND,both
"Conductor ampacity is…","The current a conductor can carry continuously|The length of the wire|The voltage rating","The current a conductor can carry continuously","Ampacity is a heat limit — exceed it and insulation cooks.",medium,COND,theory
"The standard breaker rating for a 12 AWG copper branch circuit is…","20 A|15 A|30 A|40 A","20 A","12 AWG copper is protected at 20 A; 14 AWG at 15 A; 10 AWG at 30 A.",medium,COND,theory
"A 15 A branch circuit needs copper wire at least…","14 AWG|18 AWG|22 AWG","14 AWG","14 AWG copper for 15 A, 12 AWG for 20 A — the wire must match the breaker.",hard,COND,theory
"The standard breaker rating for a 14 AWG copper branch circuit is…","15 A|20 A|30 A|40 A","15 A","14 AWG copper is protected at 15 A; 12 AWG at 20 A; 10 AWG at 30 A.",hard,COND,theory
"The standard breaker rating for a 10 AWG copper branch circuit is…","30 A|15 A|20 A|50 A","30 A","10 AWG copper is protected at 30 A under the small-conductor rule.",hard,COND,theory
"Which conductor can carry more current?","12 AWG copper|14 AWG copper|They are identical","12 AWG copper","Lower AWG number means bigger wire and more ampacity: 12 AWG handles 20 A, 14 AWG only 15 A.",easy,COND,theory
"Which metal is the better conductor at the same size?","Copper|Aluminum|Steel","Copper","Copper carries more current per size — aluminum must be upsized to match.",easy,COND,theory
"The main thing that destroys conductor insulation is…","Heat from carrying too much current|Sunlight through windows|Low voltage","Heat from carrying too much current","Ampacity is a heat limit — chronic overheating cooks insulation long before anything trips.",easy,COND,theory
"Conduit's main job is to…","Protect conductors from physical damage|Boost the voltage|Cool the wires below room temperature","Protect conductors from physical damage","Raceways take the abrasion, impact, and crush so the insulation does not have to.",easy,COND,theory
"An extension cord that feels hot under load means…","The cord is overloaded or undersized — stop and check|Normal operation|The tool is energy efficient","The cord is overloaded or undersized — stop and check","A properly sized cord runs cool — heat is wasted power and a warning sign.",easy,COND,both
"A longer wire of the same size has…","More resistance|Less resistance|The same resistance","More resistance","Resistance grows with length — the root cause of voltage drop on long runs.",easy,COND,theory
"Stranded conductors are chosen over solid where…","Flexibility is needed, like cords and equipment leads|Maximum stiffness is needed|The run is underground","Flexibility is needed, like cords and equipment leads","Many small strands flex without breaking — that is why cords are stranded.",easy,COND,theory
"The job of wire insulation is to…","Keep current in the conductor and prevent unintended contact|Increase the current capacity|Make the wire easier to pull","Keep current in the conductor and prevent unintended contact","Insulation is the barrier between the circuit and everything else — protect it and it protects you.",easy,COND,theory
"AWG stands for…","American Wire Gauge|Average Wire Grade|Amperage Wattage Guide","American Wire Gauge","AWG is the US standard for conductor sizes — and it counts backwards.",easy,COND,theory
