question,choices,answer,why,difficulty,category,skin
"A kilowatt (kW) measures power; a kilowatt-hour (kWh) measures…","Energy — power used over time|Voltage|Peak current","Energy — power used over time","kW is the rate, kWh is the total — a 1 kW heater running 3 hours uses 3 kWh.",easy,DIST,theory
"Demand factors exist because…","Not all connected loads run at the same time|Wire is cheap|Meters read high","Not all connected loads run at the same time","Sizing for everything at once would be waste — real systems ride on diversity.",easy,DIST,theory
"Standard US residential service is…","120/240 V split-phase|480 V three-phase|12 V DC","120/240 V split-phase","Two hot legs and a neutral from a center-tapped transformer — 120 V to neutral, 240 V leg to leg.",easy,DIST,theory
"A feeder is the wiring that runs…","From the service equipment to a downstream panel's branch breakers|From a receptacle to the lamp|From the meter to the utility pole","From the service equipment to a downstream panel's branch breakers","Service, then feeders, then branch circuits — feeders are the middle links of the distribution chain.",easy,DIST,theory
"Connected load means…","The total of every load as if all ran at once|The load actually measured at noon|Only the largest single appliance","The total of every load as if all ran at once","Connected is the raw sum — demand is what you get after applying diversity.",easy,DIST,theory
"Electric resistance heaters convert electrical energy to heat at…","Essentially 100% at the point of use|About 50%|About 10%","Essentially 100% at the point of use","Every watt in becomes heat — the catch is that a heat pump can move more heat than that per watt.",easy,DIST,theory
"A dwelling has 12 kW of connected load with a 50% demand factor. Demand load is…","6 kW|24 kW|12 kW","6 kW","Demand = connected times the factor: 12 x 0.5 = 6 kW — the number the service actually needs to carry.",medium,DIST,theory
"A straight 240 V load like a water heater puts how much current on the neutral?","None — a pure 240 V load uses only the two hot legs|All of it|Half of it","None — a pure 240 V load uses only the two hot legs","Line-to-line loads loop leg to leg — the neutral only ever carries the 120 V imbalance.",medium,DIST,theory
"In a 120/240 V panel, the neutral carries…","Only the difference between the two legs' 120 V loads|The sum of both legs|Exactly half the total","Only the difference between the two legs' 120 V loads","Balanced legs cancel on the neutral — that is the point of splitting the phases.",medium,DIST,theory
"When filling out a panel schedule, 120 V loads should be…","Balanced as evenly as possible across both legs|Stacked on leg A first|Placed only near the main","Balanced as evenly as possible across both legs","Balancing evens the heating, steadies voltages, and keeps neutral current low.",medium,DIST,theory
"A 2-pole breaker serves a 240 V load by…","Connecting across both hot legs|Doubling the current on one leg|Using the neutral as a hot","Connecting across both hot legs","240 V lives between the legs — a 2-pole breaker grabs one of each and trips them together.",medium,DIST,theory
"A 4800 W water heater at 240 V draws…","20 A|48 A|10 A","20 A","I = P / V = 4800 / 240 = 20 A — load-calc arithmetic you will do constantly.",medium,DIST,theory
"The breaker handles in a panel add up to far more than the main rating. This is…","Normal — diversity means they never all run at once|A code violation|A sign the main is failing","Normal — diversity means they never all run at once","Panels are sized to calculated demand, not to the sum of the handles.",medium,DIST,theory
"A continuous load is one expected to run at maximum for…","3 hours or more|15 minutes|24 hours only","3 hours or more","Three hours is the line — past it, conductors and breakers are sized at 125%.",medium,DIST,theory
"Fixed electric space heating is sized at 125% because it is treated as…","A continuous load|A motor load|A surge load","A continuous load","Heat runs for hours on a cold night — the 25% margin keeps the circuit from cooking at full output.",medium,DIST,theory
"A home has 10 kW of electric heat and 5 kW of air conditioning. The load calculation counts…","Only the 10 kW heat — the larger of loads that never run together|All 15 kW|Only the AC","Only the 10 kW heat — the larger of loads that never run together","Heating and cooling are noncoincident — you will never need both at once, so only the bigger one counts.",medium,DIST,theory
"Utilities serving lots of electric heat see their annual peak demand in…","Winter cold snaps|Mild spring weeks|Summer nights only","Winter cold snaps","Resistance heat stacked across a whole region peaks the grid on the coldest mornings.",medium,DIST,theory
"Beyond energy (kWh), commercial customers are often billed for…","Their peak demand in kW|The number of breakers|Wire length","Their peak demand in kW","The grid must be built for your worst 15 minutes — demand charges recover that capacity cost.",medium,DIST,theory
"A dwelling's general lighting load is calculated from…","The floor area in square feet|The number of windows|The roof height","The floor area in square feet","Volt-amperes per square foot of livable space — floor area stands in for the lighting and receptacle load.",medium,DIST,theory
"Compared with resistance heat, a heat pump delivers…","More heat per kWh, because it moves heat instead of making it|Less heat per kWh|Identical heat per kWh","More heat per kWh, because it moves heat instead of making it","A COP of 3 means three units of heat per unit of electricity — until deep cold erodes it.",medium,DIST,theory
"A branch circuit is the wiring…","From the final overcurrent device to the outlets it serves|From the transformer to the meter|Between two panels","From the final overcurrent device to the outlets it serves","The last hop of the system — everything past the last breaker is branch circuit.",medium,DIST,theory
"A dwelling's calculated load is 22,800 VA at 240 V. The minimum service is…","100 A — 95 A calculated, rounded up to the next standard size|95 A exactly|125 A","100 A — 95 A calculated, rounded up to the next standard size","22,800 / 240 = 95 A; services come in standard ratings, so 100 A is the floor.",hard,DIST,theory
"A multiwire branch circuit's two hots must land on opposite legs because…","On the same leg the shared neutral carries the sum of both currents and can overheat|It looks better in the panel|Opposite legs double the voltage to each load","On the same leg the shared neutral carries the sum of both currents and can overheat","On opposite legs the neutral carries only the difference; on the same leg it quietly carries double.",hard,DIST,theory
"A feeder's neutral can sometimes be smaller than its hot conductors because…","It carries only the unbalanced portion of the load|Neutrals never carry current|Code ignores neutrals","It carries only the unbalanced portion of the load","Heavy 240 V loading means light neutral duty — the calculation permits a reduced neutral.",hard,DIST,theory
"A 9.6 kW (40 A at 240 V) electric furnace treated as continuous requires a circuit sized at least…","50 A — 40 A times 125%|40 A exactly|35 A","50 A — 40 A times 125%","Continuous loads get the 125% treatment: 40 x 1.25 = 50 A of circuit capacity.",hard,DIST,theory
"Heat pump systems can drive extreme winter peaks because…","In deep cold their efficiency drops and resistance backup strips switch on|Their compressors shut off in winter|They consume power only in summer","In deep cold their efficiency drops and resistance backup strips switch on","The coldest hour converts a neighborhood of efficient heat pumps into raw resistance heat — right at system peak.",hard,DIST,theory
"A utility transformer serving ten homes is sized far below ten full services because…","Homes hit their individual peaks at different times — load diversity|Transformers overload safely|Each home only gets a tenth of its service","Homes hit their individual peaks at different times — load diversity","Diversity is the grid's quiet superpower — the coincident peak is much smaller than the sum of possible peaks.",hard,DIST,theory
"Demand factors are allowed on household cooking equipment because…","All burners and ovens practically never run at maximum simultaneously|Ranges use no real power|Cooking is a continuous load","All burners and ovens practically never run at maximum simultaneously","A 12 kW range almost never draws 12 kW — usage diversity is baked into the calculation.",hard,DIST,theory
"Why are load calculations done in volt-amperes (VA) rather than watts?","VA tracks the current the conductors must carry regardless of power factor|Watts cannot be measured|VA is always the smaller number","VA tracks the current the conductors must carry regardless of power factor","Sizing rides on current: VA divided by voltage gives amps directly, power factor or not.",hard,DIST,theory
"A load of 10 kW at 0.8 power factor requires apparent power of…","12.5 kVA|8 kVA|10 kVA","12.5 kVA","kVA = kW / PF = 10 / 0.8 — the wires must carry the full 12.5 kVA of current.",hard,DIST,theory
"Before adding a 48 A EV charger to an existing 100 A service, you must…","Run a load calculation to verify the service has capacity|Just install it — services have slack|Swap the meter","Run a load calculation to verify the service has capacity","A near-half-service continuous load can push an older service past its rating — calculate first, install second.",hard,DIST,theory
"The two legs of a residential service measure 240 V between them because…","They come from opposite ends of a center-tapped transformer winding|They are two separate utilities|The neutral adds 120 V","They come from opposite ends of a center-tapped transformer winding","One 240 V winding, tapped in the middle: each end is 120 V from center, 240 V end to end.",hard,DIST,theory
"A failing (open) service neutral shows up as…","Some 120 V circuits running bright/high while others sag low|All power out instantly|Only 240 V loads failing","Some 120 V circuits running bright/high while others sag low","With no neutral reference the two legs divide 240 V by load impedance — lights flare, electronics die.",hard,DIST,theory
"As more dwelling units are added to a feeder calculation, the applied demand factor generally…","Decreases — diversity grows with the number of units|Increases toward 100%|Stays fixed at 100%","Decreases — diversity grows with the number of units","Two hundred apartments never peak together — the more units, the deeper the allowed reduction.",hard,DIST,theory
"In a standard split-phase panelboard, vertically adjacent breaker positions alternate legs so that…","A 2-pole breaker automatically lands across both legs for 240 V|Every breaker sees the same leg|The neutral bar stays cooler","A 2-pole breaker automatically lands across both legs for 240 V","The bus fingers interleave A-B-A-B down the panel, so two adjacent positions always span both legs.",hard,DIST,theory
"A subpanel's feeder is sized from…","The calculated demand of the loads it serves|The sum of every breaker installed in it|The size of the main panel","The calculated demand of the loads it serves","Same rule as the service: calculated load, with demand factors — never the sum of the handles.",hard,DIST,theory
"How should you climb a ladder?","Maintain 3 points of contact|Carry tools in both hands|Face away from the ladder","Maintain 3 points of contact","Two hands + one foot (or two feet + one hand) on the ladder at all times.",easy,FALL,both
"At what height does OSHA require fall protection in construction?","6 feet|10 feet|15 feet","6 feet","Work at 6 ft or more above a lower level requires fall protection.",easy,FALL,both
"The proper angle for an extension ladder is…","1 ft out for every 4 ft up|1 ft out for every 8 ft up|Flat against the wall","1 ft out for every 4 ft up","The 4-to-1 rule keeps the ladder from kicking out or tipping back.",medium,FALL,both
"A ladder's side rails must extend above the landing by at least…","3 feet|6 inches|They can stop at the edge","3 feet","The 3-ft extension gives you a handhold while stepping on and off.",medium,FALL,both
